"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","C2","ke0","Ceff","centr","peri","AUC","Drug"
"76",2,2,2,10.7589472946359,1.00273635718985,2.51972177294909,7.87385930022591,0.234197798720081,2.51284572947028,2,2,0.731842910333021,0.216998885505023,0.28835552215216,0.5,0.216998885505023,2.33467957214327,0.289144565858433,0.936792947492301,"Drug2"
"77",2,2,2,9.8128644724689,1.1783435482561,2.30894432078404,5.43237182640087,0.235297687771195,1.95948314411462,2,2,0.553596948336747,0.325826266968927,0.416511344314807,0.5,0.325826266968927,3.19728899933655,0.490793455348826,1.16190823217204,"Drug2"
"78",2,2,2,13.9046946963394,0.865292371925689,1.90760657458839,2.46738242777562,0.137191546901824,2.20458036668352,2,2,0.177449593943633,0.481181334919076,0.513396847500735,0.5,0.481181334919076,6.69067955562681,0.444238375913082,1.16118281309275,"Drug2"
"79",2,2,2,7.48570162290813,0.674621184028159,3.59624045965802,3.59092133807927,0.480414614530269,5.33075531098044,2,2,0.479704043651719,0.503766751529514,0.548720047550463,0.5,0.503766751529514,3.77104758949165,0.370178168178481,1.63155181936222,"Drug2"
"80",2,2,2,9.89426318480724,1.24179324352126,1.3251987483957,3.22128939202578,0.133936072211073,1.06716537177955,2,2,0.325571427791824,0.486609128905094,0.545689614760909,0.5,0.486609128905094,4.81463878951679,0.677633676669815,1.3993550362076,"Drug2"
"81",2,2,2,18.5774036718447,1.07948265789432,2.39368532178372,4.23319751832901,0.128849292617327,2.21743749589543,2,2,0.227868091424676,0.327799097544531,0.357519954431978,0.5,0.327799097544531,6.08965615835113,0.385936590660487,0.832563856453266,"Drug2"
"82",2,2,2,11.6834709093806,1.24546353210886,1.16835205969978,5.89517547318351,0.100000425281301,0.938086125830987,2,2,0.504573984812192,0.295453900647228,0.371868592307019,0.5,0.295453900647228,3.45192705327492,0.46314877045505,1.03218711706711,"Drug2"
"83",2,2,2,6.17947128442829,1.0699112820747,1.64677505104945,5.72190602196531,0.266491253903741,1.53916972242422,2,2,0.925953978681639,0.260827871530419,0.428309402642664,0.5,0.260827871530419,1.61177834230077,0.458253062106061,1.38589633684152,"Drug2"
"84",2,2,2,7.3752634193228,0.90455920211862,1.94355906874557,4.63010100866802,0.263524020532412,2.1486256114508,2,2,0.627787883011392,0.37989039283591,0.495054849776282,0.5,0.37989039283591,2.80179171763485,0.447806419918587,1.4579383581069,"Drug2"
"85",2,2,2,12.156419241922,0.916091040464275,1.85464978468887,5.8819032512968,0.152565467493341,2.02452562329278,2,2,0.483851628858996,0.304034244772477,0.376367117559149,0.5,0.304034244772477,3.69596774335536,0.344786544321301,1.01314922359688,"Drug2"
"86",2,2,2,6.66522088554414,0.824384766020707,2.49260643115071,5.17650153015079,0.373972066935816,3.02359593953014,2,2,0.776643658033575,0.326378982434701,0.417573386547427,0.5,0.326378982434701,2.17538801032641,0.344241138565375,1.44506300394937,"Drug2"
"87",2,2,2,16.4445831935983,0.992007643937136,2.55967726578576,5.05363622359945,0.1556547366176,2.58029994166856,2,2,0.307313123361301,0.317889755564867,0.355026980734763,0.5,0.317889755564867,5.22756453177909,0.352189478692807,0.87466643698778,"Drug2"
"88",2,2,2,12.6206342163384,0.826378457069956,3.18445822746791,3.02015269270781,0.252321569017933,3.8535107010883,2,2,0.23930276727282,0.471696732743342,0.500552110586361,0.5,0.471696732743342,5.95311192499565,0.413645480829467,1.20299963738502,"Drug2"
